nodename,batch,timestamp,task,data,in_rows,question,out_rows,out_cols,solution,version,git,fun,run,time_sec,mem_gb,cache,chk,chk_time_sec,comment
mr-0xc11,1543726296,1543726307,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.209,0.517,TRUE,30001016,0.001,NA
mr-0xc11,1543726296,1543726308,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1,100,2,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.18,0.526,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726308,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.331,0.517,TRUE,30001016,0.001,NA
mr-0xc11,1543726296,1543726309,groupby,G1_1e7_1e2_0_0,10000000,sum v1 by id1:id2,10000,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.33,0.517,TRUE,30001016,0.001,NA
mr-0xc11,1543726296,1543726310,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.794,0.52,TRUE,30001016;5065690,0.001,NA
mr-0xc11,1543726296,1543726310,groupby,G1_1e7_1e2_0_0,10000000,sum v1 mean v3 by id3,100000,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.718,0.52,TRUE,30001016;5065690,0.001,NA
mr-0xc11,1543726296,1543726311,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.236,0.526,TRUE,300.01;299.9804;5065.702,0,NA
mr-0xc11,1543726296,1543726311,groupby,G1_1e7_1e2_0_0,10000000,mean v1:v3 by id4,100,4,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.242,0.526,TRUE,300.01;299.9804;5065.702,0.001,NA
mr-0xc11,1543726296,1543726312,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.77,0.52,TRUE,30001016;29998058;506570021,0.002,NA
mr-0xc11,1543726296,1543726313,groupby,G1_1e7_1e2_0_0,10000000,sum v1:v3 by id6,100000,4,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.784,0.52,TRUE,30001016;29998058;506570021,0.002,NA
mr-0xc11,1543726296,1543726316,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1,10,2,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.17,0.584,TRUE,30001016,0.002,NA
mr-0xc11,1543726296,1543726316,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1,10,2,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.166,0.591,TRUE,30001016,0.001,NA
mr-0xc11,1543726296,1543726316,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1:id2,100,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.252,0.581,TRUE,30001016,0.001,NA
mr-0xc11,1543726296,1543726317,groupby,G1_1e7_1e1_0_0,10000000,sum v1 by id1:id2,100,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.24,0.581,TRUE,30001016,0,NA
mr-0xc11,1543726296,1543726318,groupby,G1_1e7_1e1_0_0,10000000,sum v1 mean v3 by id3,999951,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,1.056,0.63,TRUE,30001016;50649181,0.006,NA
mr-0xc11,1543726296,1543726320,groupby,G1_1e7_1e1_0_0,10000000,sum v1 mean v3 by id3,999951,3,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,1.254,0.63,TRUE,30001016;50649181,0.006,NA
mr-0xc11,1543726296,1543726320,groupby,G1_1e7_1e1_0_0,10000000,mean v1:v3 by id4,10,4,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,1,0.223,0.6,TRUE,30.00102;29.99806;506.57,0.001,NA
mr-0xc11,1543726296,1543726321,groupby,G1_1e7_1e1_0_0,10000000,mean v1:v3 by id4,10,4,data.table,1.11.9,e6913a4432fd63d5d8f769a314e429b7ec4a813f,[.data.table,2,0.225,0.6,TRUE,30.00102;29.99806;506.57,0.001,NA
